Tracker,Model,idf1_mean,idp_mean,idr_mean,recall_mean,precision_mean,num_unique_objects_mean,mostly_tracked_mean,partially_tracked_mean,mostly_lost_mean,num_false_positives_mean,num_misses_mean,num_switches_mean,num_fragmentations_mean,mota_mean,motp_mean,num_transfer_mean,num_ascend_mean,num_migrate_mean,idf1_std,idp_std,idr_std,recall_std,precision_std,num_unique_objects_std,mostly_tracked_std,partially_tracked_std,mostly_lost_std,num_false_positives_std,num_misses_std,num_switches_std,num_fragmentations_std,mota_std,motp_std,num_transfer_std,num_ascend_std,num_migrate_std,mean_speed,std_speed
ByteTracker,yolo11x-seg,0.6753754546753704,0.7055258019755155,0.6803101937842745,0.8687036462146835,0.8992378874343122,13.136363636363637,11.454545454545457,1.2272727272727273,0.4545454545454545,993.5454545454544,695.5909090909091,422.95454545454544,190.54545454545453,0.7209914107042312,0.2551662817051669,363.09090909090907,16.545454545454547,0.3636363636363636,0.2143481789912152,0.2011673149316324,0.2525819662278951,0.2042880585689344,0.0576972233468867,8.259456078859838,8.307926637955166,1.6310037278231957,0.9625003513801572,973.1265139339346,860.379410165788,1629.3396113960002,201.67270213858583,0.2086133727922555,0.0848223540897114,1631.421901260805,15.339731396193326,0.9534625892455924,0.3054,0.0105
OCsort,yolo11x-seg,0.6643998177913002,0.8052128414737285,0.609172438354812,0.7419293698225142,0.9864748133165612,12.73913043478261,8.956521739130435,2.391304347826087,1.391304347826087,64.30434782608695,1589.9130434782608,347.95652173913044,176.82608695652175,0.6953535238145323,0.1737900045859674,327.9130434782609,11.304347826086955,0.3043478260869565,0.26122668490239,0.188571671137036,0.2766560184060192,0.2716488385836771,0.027488794608733,8.291383212294708,7.099796801634954,2.3882121581327245,1.6716657570106697,96.27207410752314,1813.2977470254543,1557.2430614933464,140.9257225936328,0.2804603272740828,0.0611349068356002,1552.3494485059348,10.306373943997848,0.8756702684071968,0.3133,0.0086
SORT,yolo11x-seg,0.5868716231342955,0.6578645938699561,0.557780145717301,0.8091283103977279,0.9740490616365782,12.73913043478261,10.08695652173913,1.7826086956521738,0.8695652173913043,177.30434782608697,1096.0434782608695,376.1304347826087,133.0,0.747136628690803,0.1870578527742273,334.17391304347825,39.869565217391305,0.1739130434782608,0.2438632265916231,0.2041494165495684,0.2603120524487211,0.2456078227576486,0.0348092734007028,8.291383212294708,7.662856359669859,2.430049040641145,1.179535649239177,234.77521837292656,1433.9781435592154,1588.9338708233904,116.84566355200816,0.2624078148606671,0.0658932092513291,1589.1291397884884,35.94099248367333,0.8340576562282991,0.3123,0.0084
WildTracker,yolo11x-seg,0.6934422755987342,0.6462883250148884,0.814169547976437,0.9159572603243322,0.7142292733533966,12.85,10.8,1.35,0.7,4982.7,445.7,383.8,20.2,0.4174503619806806,0.2212714413784193,377.3,4.9,0.65,0.2070644969708207,0.234430597915963,0.2288799090308808,0.1712933764013682,0.1718536668343044,8.324187964189534,7.381342054553208,1.348488432516786,0.9787209698591858,5399.853244594513,418.1362281160984,1686.5257530762683,52.43803360559063,0.3709702045495309,0.098664466515029,1677.688638699402,4.575679414607535,1.3869694338832113,5.7226,2.5325
ByteTracker,yolo11l-seg,0.6102488887079589,0.6242767873911742,0.6199766123602909,0.8562477288986723,0.8588556864966953,12.73913043478261,10.782608695652174,1.434782608695652,0.5217391304347826,1128.2608695652175,761.4782608695652,430.6521739130435,193.1304347826087,0.6693582492993818,0.2750074038495795,352.8260869565217,19.73913043478261,0.2608695652173913,0.2188876649843509,0.1946568996986502,0.2500965513364815,0.2112690333467981,0.085747483638623,8.291383212294708,7.999752960612597,1.7793279363676444,0.9472239447886796,1078.567367027851,926.4499628133392,1583.0962931918536,176.6527935985333,0.2395258450359978,0.0862437645905784,1579.3510650141295,17.088585747388514,1.0538842141140996,0.4245,0.0203
OCsort,yolo11l-seg,0.6200717996637487,0.794216738926979,0.5532250112343011,0.6784388976128933,0.9841473527455256,12.73913043478261,8.130434782608695,3.130434782608696,1.4782608695652173,60.65217391304348,1884.304347826087,337.30434782608694,202.3913043478261,0.632975478179514,0.1914085559467553,313.69565217391306,12.043478260869565,0.3043478260869565,0.2748767065869484,0.2136295741456385,0.2916754559515076,0.2842184847012952,0.0340043688777813,8.291383212294708,6.831107642290037,3.2655828913921874,1.7286243931201823,76.02966448316685,1913.446520020938,1488.9638995191071,162.5145417634526,0.2908118958783738,0.0728836418989014,1482.206967353462,9.431466968078745,0.9261249968991352,0.4393,0.017
SORT,yolo11l-seg,0.5425884507683538,0.6185447086455026,0.5115698337137874,0.7759010788642297,0.9659629819377132,12.73913043478261,9.826086956521738,2.0434782608695654,0.8695652173913043,188.8695652173913,1221.608695652174,377.2173913043478,149.17391304347825,0.70697393479716,0.2111357380429211,327.9130434782609,46.08695652173913,0.1304347826086956,0.2782669288879216,0.2537833285076343,0.2932695620428016,0.2413969846238395,0.0439963246011288,8.291383212294708,7.975258182842983,2.099312893426306,1.179535649239177,235.37789815679693,1387.549892276783,1559.0605841782865,114.14729406816004,0.2576669050010435,0.0819689810403294,1556.052812642047,35.61398224328889,0.6255432421712243,0.4567,0.0172
WildTracker,yolo11l-seg,0.7139298568790353,0.6648011852902326,0.82356101499294,0.913010462765543,0.721402246194696,13.272727272727272,11.181818181818182,1.2727272727272727,0.8181818181818182,4600.090909090909,574.3636363636364,340.6818181818182,29.363636363636363,0.4395815142733082,0.2150511467578119,333.22727272727275,5.5,0.8181818181818182,0.200237992328679,0.2317263194723644,0.2136735256791947,0.1468054192501595,0.175377972564074,8.072185153982357,7.1954771749267445,1.5790840679034457,0.9579921282290986,4581.133306540464,540.2094431090986,1565.5663933652356,88.35940969350848,0.393274971248926,0.072251889642925,1551.3627782362737,6.084719346347005,1.94290807165233,5.1165,2.9592
ByteTracker,yolo11m-seg,0.6033461172481531,0.6498529764337121,0.6047741629015739,0.8111637348861526,0.8719007848480171,12.73913043478261,10.652173913043478,1.3043478260869563,0.782608695652174,860.9130434782609,915.1739130434784,414.4347826086956,221.2173913043478,0.6594078024563941,0.2687113552718708,354.2608695652174,17.304347826086957,0.3043478260869565,0.2607849160603906,0.2146687687179611,0.2913688534184687,0.2891854488708656,0.1147548239275092,8.291383212294708,8.014808428789651,1.844766124834248,1.3127528930087211,824.0329270254523,987.270049276098,1586.463586554211,230.87599121640625,0.2881557478680279,0.0946924695719749,1588.4802404525844,17.410641423641138,0.8756702684071968,0.5028,0.0268
OCsort,yolo11m-seg,0.5963045816861731,0.7760292282031539,0.5459451054713905,0.6809540382065545,0.9850419141556296,12.73913043478261,7.913043478260869,3.0434782608695654,1.7826086956521738,47.17391304347826,2081.0,334.1304347826087,226.8695652173913,0.6335942314208001,0.1824732359102983,315.69565217391306,10.826086956521738,0.3043478260869565,0.3118640112026347,0.2200893392984626,0.3174050128757218,0.3310925951467176,0.0330480529877956,8.291383212294708,6.618933198019293,3.710896251330976,1.7309094230577289,60.58101425807882,2162.681878846473,1491.884083492104,199.62904332965044,0.3289376720758306,0.078375261246087,1486.5766480187906,10.115928815994934,0.9261249968991352,0.5233,0.0225
SORT,yolo11m-seg,0.5487529431369663,0.6486789197971687,0.5226138331880865,0.7522312103690834,0.9676470875851154,12.73913043478261,9.695652173913045,1.8695652173913044,1.173913043478261,148.2608695652174,1405.391304347826,371.3478260869565,162.3913043478261,0.6857050608893529,0.1929851469557069,328.4347826086956,41.30434782608695,0.3043478260869565,0.2899587018993523,0.2331895871725199,0.3037331056113675,0.3131379067431052,0.0453208956139096,8.291383212294708,7.344972198775875,2.302258729360581,1.402989467758157,180.3630725638262,1538.538791401836,1559.0234300150748,158.59202637597997,0.31297144670629,0.0778335913100224,1556.811684357925,43.51220809111423,1.06321906614239,0.5134,0.0228
WildTracker,yolo11m-seg,0.6927946033894353,0.6411690329186628,0.81616198780611,0.9083353242554064,0.702671494715483,13.272727272727272,11.136363636363637,1.181818181818182,0.9545454545454546,4352.772727272727,535.9545454545455,350.6818181818182,23.09090909090909,0.3866335198739714,0.2232575138455056,343.8181818181818,5.090909090909091,0.5,0.2057611427189212,0.230620887992463,0.2290040304007522,0.1704133839610571,0.1815709256669765,8.072185153982357,7.199837660507516,1.5003607069909055,1.0455015987905487,3941.0310342033736,572.0425789407744,1611.359981251083,52.960820281114266,0.4439419084955838,0.0888755830497405,1600.14786924934,5.144660578457287,1.224744871391589,5.2973,3.1133
ByteTracker,yolo11s-seg,0.6100917053412521,0.659120873578125,0.6001524819979365,0.8036231185220959,0.8758820101244718,12.73913043478261,10.565217391304348,1.434782608695652,0.7391304347826086,794.8695652173913,984.3478260869564,431.4347826086956,279.95652173913044,0.6676549832373274,0.3071345398069666,350.39130434782606,19.043478260869566,0.3043478260869565,0.2613784463052399,0.2301527093426595,0.2793275503910226,0.2653154558269394,0.1326928214965096,8.291383212294708,8.14541749003429,1.6740285366450527,1.4211836073673954,783.5992310746044,895.6941243677315,1541.826833399174,206.69399390070456,0.2786682607145077,0.1145734881846631,1530.9160875742589,17.041335470687322,1.06321906614239,0.6213,0.0517
OCsort,yolo11s-seg,0.5448832574457293,0.7985209253254553,0.4793749065296422,0.5922857038111199,0.9915445758340348,12.73913043478261,7.173913043478261,3.695652173913044,1.8695652173913044,42.95652173913044,2432.478260869565,329.2173913043478,281.1304347826087,0.5542926799235358,0.2041043312611307,302.0869565217391,13.695652173913045,0.4347826086956521,0.318361619783897,0.2133841111552272,0.3191743050283079,0.3345907963399905,0.0138364369246704,8.291383212294708,6.464252568149092,3.913087395449644,1.659801407235953,76.541419720347,2167.1537443796315,1419.3056547135914,232.11366814712028,0.3344238471292687,0.0963139679133857,1411.299817159006,13.099045012410414,1.1211230958496174,0.6647,0.0363
SORT,yolo11s-seg,0.488938981346436,0.5835043966618855,0.4541466950187572,0.7088519866114078,0.9717046685352402,12.73913043478261,8.956521739130435,2.6956521739130435,1.0869565217391304,131.69565217391303,1589.608695652174,379.3478260869565,223.43478260869568,0.6520392808516166,0.2235652249178062,319.8695652173913,56.34782608695652,0.217391304347826,0.2958715416689864,0.2447352935255285,0.3010487046267701,0.2880697174946404,0.0387182519128586,8.291383212294708,7.431372446775073,2.7540842828704704,1.4114159066908945,231.52958475452076,1475.0079734493404,1518.1393698356746,155.45149085134287,0.2960041549032129,0.1084554467987319,1513.120986100277,52.27776225965942,0.8504823091062899,0.6617,0.0374
